path,type,reason,likely_use,confidence
/Users/sa/rh.1/.gitmodules,gitmodules,Git submodules configuration,Version control docs,0.7
/Users/sa/rh.1/.roomodes,roomodes,Roo modes configuration,Development docs,0.7
/Users/sa/rh.1/.gemini,gemini,Gemini configuration,Development docs,0.7
/Users/sa/rh.1/.env,env_file,Environment variables,Configuration docs,0.7
/Users/sa/rh.1/.env.example,env_example,Environment variables template,Configuration docs,0.7
/Users/sa/rh.1/.DS_Store,dstore,macOS metadata,System docs,0.4
/Users/sa/rh.1/LICENSE,license,Project license,Legal docs,0.7
/Users/sa/rh.1/NOTICE,notice,Project notice,Legal docs,0.7
/Users/sa/rh.1/session_store.db,session_db,Session storage database,Database docs,0.7
/Users/sa/rh.1/Play.bndb,playwright_db,Playwright database,Testing docs,0.7
/Users/sa/rh.1/rhea,rhea_binary,Rhea main binary,Executable docs,0.7
/Users/sa/rh.1/find_jscore_bootstrap.py,bootstrap_script,Bootstrap finder script,Script docs,0.7
/Users/sa/rh.1/find_selrefs.py,selrefs_script,Selector references finder script,Script docs,0.7
/Users/sa/rh.1/mirror_assets.py,mirror_script,Asset mirroring script,Script docs,0.7
/Users/sa/rh.1/inspect_0.py,inspect_script,Inspection script,Script docs,0.7
/Users/sa/rh.1/test_cli.sh,cli_test_script,CLI test script,Script docs,0.7
/Users/sa/rh.1/test_integration.sh,integration_test_script,Integration test script,Script docs,0.7
/Users/sa/rh.1/verify-stage5.sh,stage5_verify_script,Stage 5 verification script,Script docs,0.7
/Users/sa/rh.1/brain-capsule-20260228T211513Z-smoke-20260228t211513z.tar.gz,brain_capsule,Brain capsule archive,Archive docs,0.7
/Users/sa/rh.1/brain-capsule-20260228T211513Z-smoke-20260228t211513z.tar.gz.sha256,brain_capsule_checksum,Brain capsule checksum,Archive docs,0.7
/Users/sa/rh.1/frontier.sock,socket_file,Frontier socket file,Network docs,0.5
/Users/sa/rh.1/play_frame_00.png,play_frame,Play frame screenshot,Visual docs,0.6
/Users/sa/rh.1/themis-demo-seeded.png,themis_demo,Themis demo seeded screenshot,Visual docs,0.6
/Users/sa/rh.1/themis-demo-tooltip.png,themis_tooltip,Themis demo tooltip screenshot,Visual docs,0.6
/Users/sa/rh.1/tooltip-rag-hover.png,tooltip_rag,Tooltip RAG hover screenshot,Visual docs,0.6
/Users/sa/rh.1/RheaCommandCentre.dmg,rhea_dmg,Rhea Command Centre installer,Installation docs,0.7
/Users/sa/rh.1/cc,cc_executable,CC executable,Executable docs,0.6
/Users/sa/rh.1/dist/index.js,dist_js,Distribution JavaScript,Code docs,0.7
/Users/sa/rh.1/dist/index.d.ts,dist_dts,Distribution TypeScript definitions,Code docs,0.7
/Users/sa/rh.1/frontier-gem/gem-extension/background.js,gem_background,Gem extension background script,Extension docs,0.7
/Users/sa/rh.1/rhea-atlas-out/_next/static/ySR0xYfGxmYVWNI_Ayqpa/_ssgManifest.js,ssg_manifest,Next.js SSG manifest,Build docs,0.6
/Users/sa/rh.1/rhea-atlas-out/_next/static/ySR0xYfGxmYVWNI_Ayqpa/_buildManifest.js,build_manifest,Next.js build manifest,Build docs,0.6
/Users/sa/rh.1/requirements.txt,requirements_txt,Python requirements,Dependency docs,0.7
